trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	centred	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	5.8166	2.675	89	89	0	88	center	0.0	1	7.454	1	0	3	3	2	1.8027	3.0129	4.3642	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	3.9576	0.816	89	89	0	94	left	5.0	1	5.814	1	0	2	3	1	2.0987	3.7878	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	3.0496	6.1912	89	89	0	86	right	10.0	1	5.362	1	0	3	0	0	2.0621	2.8971	4.6248	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	far_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	2.4263	5.5679	89	89	0	63	right	10.0	0	5.655	1	0	2	0	0	3.0788	4.8411	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	1.0	varying	practice	0	n/a	-999	-999	-999	1.9069	5.0485	89	89	0	96	left	10.0	1	5.735	1	0	3	0	0	1.8553	2.8341	4.3083	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	0.7711	3.9127	89	89	0	73	left	5.0	1	5.429	1	0	2	2	2	2.5183	4.3003	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	1.0	standard	practice	0	n/a	-999	-999	-999	0.7002	3.8418	89	89	0	91	right	10.0	1	5.495	1	0	2	0	0	2.4003	4.2911	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	centred	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	3.2294	0.0878	89	89	0	69	center	0.0	1	5.562	1	0	2	0	0	2.011	3.6976	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	near_displaced	circle	2	0.5	standard	practice	0	n/a	-999	-999	-999	0.0946	3.2362	89	89	0	89	left	5.0	1	5.482	1	0	2	4	2	2.3919	4.144	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	0.5	varying	practice	0	n/a	-999	-999	-999	5.9294	2.7878	89	89	0	72	right	5.0	1	5.508	1	0	2	0	0	2.2378	3.5537	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	-0.7	2.5746	5.7162	89	89	0	60	center	0.0	1	5.099	1	0	2	4	2	2.8498	3.8367	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	-0.7	5.4429	2.3013	89	89	0	95	right	10.0	1	5.666	1	0	2	3	3	2.8364	3.5617	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	-0.7	2.7867	5.9283	89	89	0	94	left	10.0	1	5.65	1	0	2	1	0	2.8158	4.3966	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	-0.7	1.9847	5.1263	89	89	0	73	right	5.0	1	5.465	1	0	2	0	0	3.1607	3.9194	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	-0.7	5.8209	2.6793	89	89	0	87	left	5.0	1	5.4	1	0	2	1	1	2.5034	4.3809	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	near_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.5	-1.5	0.5942	3.7358	89	89	0	78	right	5.0	1	6.599	1	0	3	0	0	1.8584	2.6546	3.9372	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.5	-1.5	1.4552	4.5968	89	89	0	77	left	10.0	1	5.383	1	0	2	3	2	2.2075	3.7154	-999	-999	-999	-999	-999	-999	-999	-999
