trialnum	subject	session	part	condition	basicShape	numObjects	speed	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1_2_Combined	near_displaced	circle	2	1.7999999999999998	2.0913	5.2329	120	1	8.706	1	0	2	3.1183	3.9625	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1_2_Combined	near_displaced	circle	2	1.4999999999999998	0.1415	3.2831	120	1	5.734	1	0	2	2.5395	4.3322	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1_2_Combined	far_displaced	circle	2	1.7999999999999998	2.518	5.6596	120	1	6.121	1	0	2	3.0902	4.1745	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1_2_Combined	far_displaced	circle	2	1.4999999999999998	0.252	3.3936	120	1	6.189	1	0	3	1.8325	3.2338	4.6849	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1_2_Combined	near_displaced	circle	2	1.7999999999999998	5.8808	2.7392	120	1	5.949	1	0	2	2.9657	4.2089	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1_2_Combined	near_displaced	circle	2	1.1999999999999997	3.8919	0.7503	120	1	5.761	1	0	2	2.9226	4.3254	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1_2_Combined	far_displaced	circle	2	1.7999999999999998	4.6672	1.5256	120	0	5.601	1	0	3	2.049	3.1653	4.6766	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1_2_Combined	centred	circle	2	1.7999999999999998	0.1744	3.316	120	0	5.641	1	0	2	3.1026	4.2541	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1_2_Combined	far_displaced	circle	2	1.1999999999999997	5.327	2.1854	120	1	5.802	1	0	2	2.7661	3.6327	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1_2_Combined	far_displaced	circle	2	0.8999999999999997	3.1483	0.0067	120	1	6.015	1	0	2	2.467	3.5252	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1_2_Combined	near_displaced	circle	2	0.8999999999999997	5.0083	1.8667	120	0	5.762	1	0	3	2.676	3.3147	4.0156	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1_2_Combined	far_displaced	circle	2	2.0999999999999996	5.779	2.6374	120	0	5.801	1	0	2	3.0129	4.8919	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1_2_Combined	far_displaced	circle	2	2.2	4.8008	1.6592	120	1	5.735	1	0	2	2.9039	4.6859	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1_2_Combined	near_displaced	circle	2	1.1999999999999997	3.8432	0.7016	120	1	5.949	1	0	2	2.986	4.7434	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1_2_Combined	near_displaced	circle	2	1.4999999999999998	5.3417	2.2001	120	1	5.708	1	0	3	2.1525	3.2241	5.1445	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1_2_Combined	far_displaced	circle	2	0.5999999999999996	5.95	2.8084	120	1	5.454	1	0	3	2.4648	3.4762	5.0131	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1_2_Combined	near_displaced	circle	2	1.1999999999999997	3.6221	0.4805	120	1	5.856	1	0	3	2.2501	3.3954	4.6242	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1_2_Combined	near_displaced	circle	2	0.8999999999999997	0.2878	3.4294	120	1	5.962	1	0	2	3.1402	3.8182	-999	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part1_2_Combined	far_displaced	circle	2	0.29999999999999966	4.1836	1.042	120	1	5.401	1	0	3	2.1229	3.0225	4.5472	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9000000000000001	3.9573	0.8157	120	1	5.735	1	0	2	2.5898	4.2505	-999	-999	-999	-999	-999	-999	-999	-999
20	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	6.2462	3.1046	120	1	5.494	1	0	3	1.7958	3.0956	4.4594	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	2.3035	5.4451	120	1	6.162	1	0	2	3.0565	4.7577	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9000000000000001	5.5367	2.3951	120	1	5.441	1	0	3	1.938	2.4738	4.1582	-999	-999	-999	-999	-999	-999	-999
23	temp	1	Part1_2_Combined	centred	circle	2	2.0999999999999996	0.1994	3.3409	120	1	5.735	1	0	3	2.1952	3.2375	3.8875	-999	-999	-999	-999	-999	-999	-999
24	temp	1	Part1_2_Combined	far_displaced	circle	2	0.03	2.3618	5.5034	120	1	5.362	1	0	3	2.4832	3.2618	4.7021	-999	-999	-999	-999	-999	-999	-999
25	temp	1	Part1_2_Combined	near_displaced	circle	2	0.5999999999999996	3.3226	0.181	120	1	5.815	1	0	2	2.8943	4.2092	-999	-999	-999	-999	-999	-999	-999	-999
26	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9000000000000001	0.2063	3.3479	120	1	5.615	1	0	2	2.5029	4.1268	-999	-999	-999	-999	-999	-999	-999	-999
