trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1_2_Combined	near_displaced	circle	2	1.7999999999999998	standard	5.2433	2.1017	120	0	15.548	1	0	3	1.7933	2.3489	3.8869	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1_2_Combined	near_displaced	circle	2	2.0999999999999996	standard	0.6265	3.7681	120	0	14.293	1	0	2	2.5404	4.3275	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	standard	1.8124	4.954	120	0	14.275	1	0	2	2.4429	3.8006	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	standard	3.4791	0.3375	120	0	14.29	1	0	2	2.331	3.8893	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1_2_Combined	far_displaced	circle	2	1.7999999999999998	varying	0.9782	4.1198	120	0	14.267	1	0	2	2.7493	3.8718	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	standard	1.246	4.3876	120	0	14.272	1	0	2	2.6513	3.7115	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1_2_Combined	near_displaced	circle	2	1.7999999999999998	varying	2.0773	5.2189	120	0	14.271	1	0	3	2.4815	3.3456	3.9128	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1_2_Combined	far_displaced	circle	2	1.7999999999999998	standard	3.8209	0.6793	120	0	11.817	1	0	3	1.9983	2.9277	3.8691	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1_2_Combined	near_displaced	circle	2	2.0999999999999996	varying	0.3218	3.4634	120	0	5.783	1	0	2	2.5484	4.5212	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1_2_Combined	far_displaced	circle	2	2.0999999999999996	varying	3.5731	0.4315	120	1	5.802	1	0	2	1.9479	3.8109	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1_2_Combined	far_displaced	circle	2	1.7999999999999996	varying	2.8465	5.9881	120	1	5.375	1	0	3	2.564	3.0934	3.8404	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	standard	2.8628	6.0044	120	0	5.522	1	0	3	1.8619	3.0709	4.0363	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1_2_Combined	far_displaced	circle	2	2.0999999999999996	standard	2.6615	5.8031	120	1	5.322	1	0	2	2.3384	3.7568	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	varying	3.2794	0.1378	120	0	5.762	1	0	4	1.9707	2.5931	3.1358	4.685	-999	-999	-999	-999	-999	-999
14	temp	1	Part1_2_Combined	far_displaced	circle	2	1.7999999999999996	varying	1.0364	4.178	120	0	5.815	1	0	3	2.075	2.7792	3.7667	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1_2_Combined	near_displaced	circle	2	2.2	varying	5.6517	2.5101	120	0	14.272	1	0	4	1.7429	2.7331	3.4216	4.5587	-999	-999	-999	-999	-999	-999
16	temp	1	Part1_2_Combined	far_displaced	circle	2	1.9999999999999996	varying	2.9422	6.0838	120	1	7.376	1	0	2	2.2533	3.9102	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1_2_Combined	centred	circle	2	1.7999999999999998	standard	3.737	0.5954	120	1	5.667	1	0	2	2.1169	3.8622	-999	-999	-999	-999	-999	-999	-999	-999
