trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	1.85	varying	staircase	2.9591	6.1007	120	1	7.909	1	0	3	2.6861	3.2475	4.3993	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	1.85	varying	staircase	1.01	4.1516	120	1	5.822	1	0	3	1.7768	3.0423	4.3659	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	2.1500000000000004	varying	staircase	3.882	0.7404	120	0	5.855	1	0	2	2.5685	4.46	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	1.85	standard	staircase	1.99	5.1316	120	1	5.615	1	0	2	2.674	4.4748	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	centred	circle	2	1.85	standard	staircase	4.664	1.5224	120	1	5.415	1	0	3	1.8608	2.7867	4.6153	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	2.1500000000000004	varying	staircase	2.0999	5.2415	120	0	5.561	1	0	2	2.328	3.9552	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	1.85	varying	staircase	5.3847	2.2431	120	1	5.774	1	0	2	3.1303	3.6948	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	2.1500000000000004	standard	staircase	3.5721	0.4305	120	1	5.682	1	0	3	1.9071	2.7105	4.0556	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.85	varying	staircase	3.9721	0.8305	120	1	5.575	1	0	2	3.0824	4.144	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	centred	circle	2	2.1500000000000004	standard	staircase	0.7424	3.884	120	0	5.401	1	0	2	2.5674	4.1064	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	far_displaced	circle	2	1.85	standard	staircase	4.536	1.3944	120	1	5.389	1	0	3	1.7561	2.9668	3.7099	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	2.3265	5.4681	120	1	5.281	1	0	3	2.6101	3.4251	4.2368	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	4.5557	1.4141	120	1	5.388	1	0	2	2.2328	3.997	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	far_displaced	circle	2	1.85	varying	staircase	2.7053	5.8469	120	1	5.415	1	0	3	1.9772	2.8622	4.7717	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	1.85	varying	staircase	3.0404	6.182	120	0	5.455	1	0	3	2.4791	3.4856	5.0116	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	near_displaced	circle	2	1.5500000000000003	varying	staircase	2.4543	5.5959	120	0	5.401	1	0	2	2.547	4.1696	-999	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	far_displaced	circle	2	2.05	varying	staircase	1.4677	4.6093	120	0	5.308	1	0	2	2.8201	3.5403	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1	centred	circle	2	1.85	standard	staircase	4.2002	1.0586	120	1	5.495	1	0	2	3.1597	4.9932	-999	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part1	far_displaced	circle	2	1.95	varying	staircase	0.774	3.9156	120	0	5.815	1	0	2	3.045	4.0597	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1	near_displaced	circle	2	1.5	varying	staircase	6.2208	3.0792	120	1	5.455	1	0	2	2.5999	4.2957	-999	-999	-999	-999	-999	-999	-999	-999
20	temp	1	Part1	near_displaced	circle	2	1.5	varying	staircase	4.3811	1.2395	120	1	5.268	1	0	2	2.6094	3.861	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1	far_displaced	circle	2	1.8499999999999999	varying	staircase	5.0604	1.9188	120	0	5.735	1	0	2	2.6831	4.4311	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	Part1	far_displaced	circle	2	2.1500000000000004	standard	staircase	4.7626	1.621	120	1	5.402	1	0	3	1.8769	2.8867	4.8359	-999	-999	-999	-999	-999	-999	-999
23	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	varying	staircase	0.6807	3.8223	120	1	5.535	1	0	2	2.345	3.7152	-999	-999	-999	-999	-999	-999	-999	-999
24	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	1.4874	4.629	120	1	5.655	1	0	2	2.4099	4.3865	-999	-999	-999	-999	-999	-999	-999	-999
25	temp	1	Part1	far_displaced	circle	2	1.7499999999999998	varying	staircase	1.1537	4.2953	120	0	5.508	1	0	2	2.9145	4.8572	-999	-999	-999	-999	-999	-999	-999	-999
