trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	2.169	5.3106	120	120	1	5.411	1	0	2	316	117	199	3.1765	4.8009	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	5.8877	2.7461	120	120	1	5.826	1	0	3	318	120	198	1.8242	3.2634	3.7836	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	3.395	0.2534	120	120	1	6.962	1	0	4	319	120	199	1.7623	2.269	3.0274	4.1366	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	far_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	2.6727	5.8142	120	120	0	5.535	1	0	3	311	119	192	2.3605	3.2455	4.964	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	2.4222	5.5637	120	120	0	7.416	1	0	2	316	120	196	3.1456	3.7924	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	centred	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	0.3157	3.4573	120	120	0	5.855	1	0	3	319	120	199	1.9239	3.0607	4.6699	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	5.6137	2.4721	120	120	1	5.495	1	0	3	315	117	198	1.8377	3.2083	4.4117	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	1.2	varying	practice	0	n/a	-999	-999	-999	0.9903	4.1318	120	120	1	5.267	1	0	3	313	118	195	1.9592	2.8767	4.6754	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	near_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	5.7586	2.617	120	120	1	5.615	1	0	3	315	119	196	1.7592	2.2979	4.2372	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	1.2	standard	practice	0	n/a	-999	-999	-999	3.9158	0.7742	120	120	1	5.682	1	0	3	317	119	198	1.9717	2.9728	4.6903	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	0.7	1.7272	4.8688	120	120	1	5.732	1	0	2	291	93	198	2.1429	3.8634	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	far_displaced	circle	2	0.7	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	0.7	3.7416	0.6	120	120	1	6.199	1	0	3	250	99	151	2.2965	3.4206	4.6237	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	near_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	0.7	2.0978	5.2394	120	120	1	5.716	1	0	2	303	117	186	2.3765	4.192	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	centred	circle	2	0.7	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	0.7	1.2269	4.3685	120	120	1	5.828	1	0	2	314	120	194	2.9795	4.0679	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	far_displaced	circle	2	0.7	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	0.7	3.3119	0.1703	120	120	1	6.299	1	0	2	319	120	199	2.8919	4.8176	-999	-999	-999	-999	-999	-999	-999	-999
