trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|near_displaced|standard|stair1	0.7	3.0	1.6622	4.8038	120	1	5.386	1	0	3	319	120	199	2.7009	3.2036	4.2348	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	Part1|centred|standard|stair1	0.7	3.0	0.2657	3.4073	120	1	5.366	1	0	2	295	100	195	2.466	4.3193	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|near_displaced|varying|stair1	0.7	3.0	0.6128	3.7544	120	1	5.35	1	0	2	309	120	189	2.8071	3.5598	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	Part1|far_displaced|varying|stair1	0.7	3.0	3.7022	0.5606	120	1	5.383	1	0	2	317	119	198	3.1665	3.8352	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	Part1|far_displaced|standard|stair1	0.7	3.0	4.4118	1.2702	120	1	5.383	1	0	2	318	120	198	2.9169	3.7338	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	0.5093	3.6509	120	1	5.188	1	0	3	314	119	195	2.6081	3.1248	3.7524	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	Part1|far_displaced|varying|stair2	1.8	1.9000000000000001	4.3425	1.2009	120	1	5.395	1	0	2	318	120	198	2.7993	4.6605	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	1.1819	4.3235	120	1	5.181	1	0	2	284	120	164	2.0463	3.5281	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	4.1361	0.9945	120	1	5.215	1	0	2	318	120	198	2.5752	4.0969	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	far_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	1.8308	4.9723	120	1	5.214	1	0	2	318	120	198	3.064	4.5637	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	0.5	standard	attention_check	0	-999	-999	-999	0.865	4.0066	120	1	5.189	1	0	3	282	115	167	2.1646	3.2826	3.8441	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	centred	circle	2	0.5	standard	attention_check	0	-999	-999	-999	4.536	1.3944	120	1	5.2	1	0	2	282	104	178	3.1649	4.342	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part2	ellipse	ellipse	2	0.7000000000000002	shape	staircase	1	Part2|ellipse|stair1	0.7	3.0	1.5385	4.6801	120	1	5.341	1	0	2	313	114	199	2.3169	3.5857	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part2	sine_circle	sine_circle	2	0.7000000000000002	shape	staircase	1	Part2|sine_circle|stair1	0.7	3.0	4.8171	1.6755	120	1	5.298	1	0	2	318	120	198	2.3217	4.0279	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part2	diamond	diamond	2	0.7000000000000002	shape	staircase	1	Part2|diamond|stair1	0.7	3.0	4.2374	1.0958	120	1	5.3	1	0	3	261	98	163	2.1541	3.2729	4.6957	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part2	sine_circle	sine_circle	2	1.8	shape	staircase	2	Part2|sine_circle|stair2	1.8	1.9000000000000001	4.4559	1.3143	120	1	5.6	1	0	2	307	120	187	1.9465	3.733	-999	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part2	diamond	diamond	2	0.5	shape	attention_check	0	-999	-999	-999	2.6981	5.8397	120	1	16.92	1	0	3	303	119	184	2.4164	3.4817	4.3298	-999	-999	-999	-999	-999	-999	-999
