trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	3.0	1.964	5.1056	120	1	6.347	1	0	2	302	118	184	2.9398	3.6821	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	3.0	6.0066	2.865	120	1	5.515	1	0	3	297	99	198	2.4649	3.3013	4.8172	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	3.0	0.7187	3.8603	120	1	5.799	1	0	2	284	112	172	2.9673	4.3383	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	3.0	3.2754	0.1339	120	1	5.6	1	0	2	318	120	198	2.2538	3.521	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	3.0	3.6802	0.5386	120	1	5.833	1	0	2	298	109	189	2.3236	3.9757	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	centred	circle	2	1.8	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.9000000000000001	3.0815	6.2231	120	1	6.366	1	0	2	274	116	158	2.9711	4.2811	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.9000000000000001	1.1584	4.3	120	1	5.9	1	0	2	303	120	183	2.7946	4.197	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.9000000000000001	0.8453	3.9869	120	1	5.933	1	0	3	256	94	162	1.8169	2.9863	4.1725	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	centred	circle	2	1.5	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	4.2444	1.1028	120	1	5.916	1	0	3	298	120	178	2.644	3.4401	4.0573	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.9000000000000001	2.5067	5.6483	120	1	5.931	1	0	2	309	111	198	1.8372	3.5583	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.9000000000000001	2.5193	5.6609	120	1	5.883	1	0	2	290	99	191	2.9205	4.7437	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	near_displaced	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	1.6606	4.8022	120	1	5.517	1	0	4	282	114	168	1.7464	2.4658	3.0413	3.6631	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	2.2713	5.4129	120	0	6.166	1	0	2	288	109	179	2.7158	4.5587	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	centred	circle	2	2.1	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.6	0.9203	4.0619	120	1	5.833	1	0	3	276	100	176	1.7887	2.4096	3.508	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	far_displaced	circle	2	2.1	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.6	0.7441	3.8857	120	1	5.9	1	0	2	260	98	162	3.1016	4.008	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	2.9265	6.0681	120	1	5.966	1	0	3	301	106	195	2.0751	2.7609	4.1019	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	near_displaced	circle	2	1.5	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	1.1005	4.2421	120	1	5.733	1	0	3	268	98	170	1.8784	2.8434	4.6014	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	3.1306	6.2722	120	1	5.95	1	0	3	276	113	163	1.9242	3.0338	3.862	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part1	centred	circle	2	1.8	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	1.9000000000000001	3.3016	0.16	120	0	6.266	1	0	2	304	105	199	3.1938	4.3382	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1	far_displaced	circle	2	2.1	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.6	3.5036	0.362	120	1	5.95	1	0	4	271	97	174	1.7972	2.4822	3.0894	4.1201	-999	-999	-999	-999	-999	-999
20	temp	1	Part1	far_displaced	circle	2	2.2	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.5	3.8798	0.7382	120	1	6.25	1	0	2	281	112	169	2.7251	3.7857	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1	far_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	5.7767	2.6351	120	1	5.816	1	0	2	290	103	187	1.95	3.9008	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	1.9644	5.1059	120	1	6.4	1	0	2	280	101	179	2.4654	4.4176	-999	-999	-999	-999	-999	-999	-999	-999
23	temp	1	Part1	near_displaced	circle	2	1.5	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	2.5263	5.6678	120	1	6.066	1	0	2	296	120	176	2.7859	3.7846	-999	-999	-999	-999	-999	-999	-999	-999
24	temp	1	Part1	far_displaced	circle	2	2.2	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.5	3.8006	0.659	120	0	6.166	1	0	2	251	103	148	3.0244	4.4571	-999	-999	-999	-999	-999	-999	-999	-999
25	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	1.9000000000000001	4.0447	0.9031	120	1	5.75	1	0	2	276	96	180	2.2594	3.6905	-999	-999	-999	-999	-999	-999	-999	-999
26	temp	1	Part1	near_displaced	circle	2	2.1	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.6	1.7911	4.9327	120	0	5.899	1	0	2	294	110	184	2.6865	3.594	-999	-999	-999	-999	-999	-999	-999	-999
27	temp	1	Part1	near_displaced	circle	2	2.1	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.6	3.857	0.7154	120	0	5.833	1	0	2	310	112	198	3.1868	5.0152	-999	-999	-999	-999	-999	-999	-999	-999
28	temp	1	Part1	centred	circle	2	2.2	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.5	4.9565	1.8149	120	1	6.749	1	0	3	271	98	173	2.38	3.2346	4.2828	-999	-999	-999	-999	-999	-999	-999
29	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	1.9000000000000001	3.2687	0.1271	120	1	5.8	1	0	3	268	111	157	1.8475	3.3224	5.054	-999	-999	-999	-999	-999	-999	-999
30	temp	1	Part1	far_displaced	circle	2	2.2	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.5	1.802	4.9436	120	0	6.266	1	0	3	304	106	198	2.1353	2.7887	4.1936	-999	-999	-999	-999	-999	-999	-999
31	temp	1	Part1	far_displaced	circle	2	2.1	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	1.6	4.0748	0.9332	120	0	7.265	1	0	2	278	97	181	2.8779	4.2722	-999	-999	-999	-999	-999	-999	-999	-999
32	temp	1	Part1	near_displaced	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	6.2048	3.0632	120	0	5.766	1	0	2	298	119	179	2.7192	3.5705	-999	-999	-999	-999	-999	-999	-999	-999
33	temp	1	Part1	centred	circle	2	1.5	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	4.7151	1.5735	120	0	6.6	1	0	3	274	100	174	1.7648	2.8127	4.7197	-999	-999	-999	-999	-999	-999	-999
34	temp	1	Part1	far_displaced	circle	2	1.9000000000000001	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.8	0.4038	3.5454	120	0	5.833	1	0	2	287	102	185	3.1153	4.1928	-999	-999	-999	-999	-999	-999	-999	-999
