trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	3.0	0.736	3.8776	120	120	1	6.39	1	0	3	291	117	174	2.1669	2.9522	3.8401	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1	centred	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	3.0	5.9576	2.816	120	120	1	5.614	1	0	2	273	100	173	2.0917	3.7194	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1	far_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	3.0	6.1113	2.9697	120	120	0	5.799	1	0	2	278	115	163	2.7147	3.5118	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	3.0	4.6977	1.5561	120	120	1	5.883	1	0	2	308	119	189	2.0526	3.5589	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1	near_displaced	circle	2	0.7000000000000002	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	3.0	3.451	0.3094	120	120	1	5.566	1	0	4	274	119	155	1.837	2.4526	3.0459	4.945	-999	-999	-999	-999	-999	-999
5	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.9000000000000001	3.192	0.0505	120	120	1	5.999	1	0	2	298	114	184	1.7804	3.684	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.9000000000000001	1.7576	4.8992	120	120	1	7.366	1	0	3	316	119	197	1.9817	3.0809	4.0361	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.9000000000000001	1.8671	5.0087	120	120	0	5.983	1	0	2	303	112	191	3.1252	4.8427	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.9000000000000001	6.0667	2.9251	120	120	0	6.016	1	0	2	289	104	185	2.8384	3.9741	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1	near_displaced	circle	2	1.5	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	2.2	5.9451	2.8035	120	120	1	5.764	1	0	2	278	113	165	2.2216	3.6405	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1	near_displaced	circle	2	2.1	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.6	1.1112	4.2528	120	120	1	5.833	1	0	2	308	120	188	2.8218	4.2109	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	Part1	near_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	3.0692	6.2108	120	120	1	5.533	1	0	2	307	119	188	2.2107	3.528	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	1	Part1	near_displaced	circle	2	1.5	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	2.2	4.9004	1.7588	120	120	1	6.148	1	0	3	306	107	199	1.8606	3.4069	4.2951	-999	-999	-999	-999	-999	-999	-999
13	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	2.2	3.2215	0.0799	120	120	1	6.03	1	0	2	297	116	181	2.6351	4.2519	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	Part1	near_displaced	circle	2	2.1	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.6	2.8903	6.0318	120	120	1	5.899	1	0	2	310	116	194	2.8713	3.5602	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	1	Part1	near_displaced	circle	2	1.8	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	1.9000000000000001	4.1104	0.9688	120	120	1	5.967	1	0	3	311	114	197	1.885	2.8166	4.6362	-999	-999	-999	-999	-999	-999	-999
16	temp	1	Part1	centred	circle	2	1.8	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.9000000000000001	3.648	0.5064	120	120	1	5.833	1	0	2	290	112	178	1.9602	3.7538	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.5	1.7966	4.9382	120	120	1	6.298	1	0	2	281	97	184	2.9979	4.0638	-999	-999	-999	-999	-999	-999	-999	-999
18	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	1.9000000000000001	4.5764	1.4348	120	120	1	6.149	1	0	2	284	120	164	2.3706	3.5066	-999	-999	-999	-999	-999	-999	-999	-999
19	temp	1	Part1	near_displaced	circle	2	2.1	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	1.6	2.6923	5.8339	120	120	1	5.983	1	0	2	317	119	198	1.8863	3.7406	-999	-999	-999	-999	-999	-999	-999	-999
20	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	3.9825	0.8409	120	120	1	6.333	1	0	2	315	120	195	2.8074	4.3055	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	1	Part1	near_displaced	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	5.3282	2.1866	120	120	1	5.683	1	0	2	305	116	189	3.1343	4.9042	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	Part1	near_displaced	circle	2	2.2	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.5	3.0144	6.156	120	120	1	6.098	1	0	3	304	109	195	1.9751	2.9221	4.0443	-999	-999	-999	-999	-999	-999	-999
23	temp	1	Part1	centred	circle	2	1.5	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	2.2	6.1765	3.0349	120	120	1	6.05	1	0	3	305	115	190	2.0286	3.1142	4.017	-999	-999	-999	-999	-999	-999	-999
24	temp	1	Part1	near_displaced	circle	2	2.1	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	1.6	5.7648	2.6232	120	120	0	5.683	1	0	2	288	120	168	2.4991	3.723	-999	-999	-999	-999	-999	-999	-999	-999
25	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.5	5.9846	2.843	120	120	1	5.783	1	0	2	266	99	167	1.7187	3.576	-999	-999	-999	-999	-999	-999	-999	-999
26	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	1.5	2.6343	5.7759	120	120	1	5.933	1	0	2	277	113	164	2.5012	3.8842	-999	-999	-999	-999	-999	-999	-999	-999
27	temp	1	Part1	near_displaced	circle	2	2.2	varying	staircase	2	stair2	Part1|near_displaced|varying|stair2	1.8	1.5	5.9635	2.8219	120	120	1	6.017	1	0	2	315	116	199	2.9112	3.7457	-999	-999	-999	-999	-999	-999	-999	-999
28	temp	1	Part1	far_displaced	circle	2	1.5	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	2.2	5.3798	2.2382	120	120	1	6.316	1	0	2	283	112	171	2.3986	3.9402	-999	-999	-999	-999	-999	-999	-999	-999
29	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.5	5.7632	2.6216	120	120	1	6.016	1	0	2	274	86	188	2.8569	4.398	-999	-999	-999	-999	-999	-999	-999	-999
30	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	2.2	3.5645	0.4229	120	120	1	6.05	1	0	2	260	100	160	2.6828	4.0759	-999	-999	-999	-999	-999	-999	-999	-999
31	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	1.9000000000000001	3.7679	0.6263	120	120	0	6.0	1	0	2	282	118	164	2.8232	4.2196	-999	-999	-999	-999	-999	-999	-999	-999
32	temp	1	Part1	centred	circle	2	0.2	standard	attention_check	0	n/a	-999	-999	-999	3.2596	0.118	120	120	1	5.866	1	0	2	318	120	198	2.4125	4.284	-999	-999	-999	-999	-999	-999	-999	-999
33	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	1.5	1.8525	4.9941	120	120	1	7.916	1	0	2	318	119	199	2.443	3.9266	-999	-999	-999	-999	-999	-999	-999	-999
34	temp	1	Part1	centred	circle	2	2.1	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.6	2.8207	5.9623	120	120	0	6.266	1	0	3	282	118	164	2.366	2.9593	3.5871	-999	-999	-999	-999	-999	-999	-999
35	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.9000000000000001	4.0637	0.9221	120	120	1	6.183	1	0	3	318	120	198	2.0549	3.0427	3.6179	-999	-999	-999	-999	-999	-999	-999
36	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	4.1511	1.0095	120	120	1	5.866	1	0	2	316	117	199	2.768	4.3104	-999	-999	-999	-999	-999	-999	-999	-999
37	temp	1	Part1	centred	circle	2	1.8	standard	staircase	1	stair1	Part1|centred|standard|stair1	0.7	1.9000000000000001	0.8305	3.9721	120	120	1	6.166	1	0	3	291	97	194	2.5126	3.4251	5.0723	-999	-999	-999	-999	-999	-999	-999
38	temp	1	Part1	centred	circle	2	1.8	standard	staircase	2	stair2	Part1|centred|standard|stair2	1.8	1.9000000000000001	0.8188	3.9604	120	120	1	6.299	1	0	2	304	116	188	2.9521	4.626	-999	-999	-999	-999	-999	-999	-999	-999
39	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.5	1.3044	4.4459	120	120	1	6.433	1	0	3	288	98	190	1.9592	3.4051	5.3846	-999	-999	-999	-999	-999	-999	-999
40	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	1.5	3.3194	0.1778	120	120	1	6.167	1	0	2	306	117	189	2.7858	3.8271	-999	-999	-999	-999	-999	-999	-999	-999
41	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	1	stair1	Part1|far_displaced|standard|stair1	0.7	1.9000000000000001	2.4729	5.6144	120	120	0	6.899	1	0	2	290	112	178	2.7487	3.8409	-999	-999	-999	-999	-999	-999	-999	-999
42	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	2	stair2	Part1|near_displaced|standard|stair2	1.8	1.5	0.0865	3.2281	120	120	1	6.279	1	0	4	311	120	191	1.8845	2.4895	3.1102	4.6281	-999	-999	-999	-999	-999	-999
43	temp	1	Part1	far_displaced	circle	2	0.2	varying	attention_check	0	n/a	-999	-999	-999	3.8756	0.734	120	120	1	6.366	1	0	3	281	119	162	2.3027	3.493	5.2761	-999	-999	-999	-999	-999	-999	-999
44	temp	1	Part1	far_displaced	circle	2	1.8	varying	staircase	2	stair2	Part1|far_displaced|varying|stair2	1.8	1.9000000000000001	4.7449	1.6033	120	120	1	6.233	1	0	3	315	119	196	1.84	3.2482	5.0831	-999	-999	-999	-999	-999	-999	-999
45	temp	1	Part1	far_displaced	circle	2	1.8	standard	staircase	2	stair2	Part1|far_displaced|standard|stair2	1.8	1.9000000000000001	3.8933	0.7517	120	120	1	8.7	1	0	3	272	107	165	2.0136	3.2999	5.02	-999	-999	-999	-999	-999	-999	-999
46	temp	1	Part1	near_displaced	circle	2	2.2	standard	staircase	1	stair1	Part1|near_displaced|standard|stair1	0.7	1.5	3.2045	0.0629	120	120	0	6.3	1	0	2	282	120	162	2.5081	4.225	-999	-999	-999	-999	-999	-999	-999	-999
47	temp	1	Part1	far_displaced	circle	2	1.5	varying	staircase	1	stair1	Part1|far_displaced|varying|stair1	0.7	2.2	3.0715	6.2131	120	120	1	6.149	1	0	2	298	103	195	2.5986	3.6507	-999	-999	-999	-999	-999	-999	-999	-999
48	temp	1	Part1	near_displaced	circle	2	1.8	varying	staircase	1	stair1	Part1|near_displaced|varying|stair1	0.7	1.9000000000000001	4.1962	1.0546	120	120	1	6.533	1	0	3	298	120	178	2.681	3.4938	4.8045	-999	-999	-999	-999	-999	-999	-999
