trialnum	subject	session	part	condition	basicShape	numObjects	speed	motionRule	trialKind	staircaseIndex	staircaseWithinCondition	stairKey	stairStartSpeed	stairValue	initialAngle	initialOtherAngle	cueFrames	timingCheckFrames	eyetrackingEnabled	fixatnPeriodFrames	trajectorySide	trajectoryOffsetDeg	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	timingBlips	numLongFramesAfterCue	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	a	Part2	diamond	diamond	2	1.0	shape	practice	0	n/a	-999	-999	-999	5.2437	2.1021	89	89	0	71	center	0.0	1	6.06	1	0	2	0	0	2.68	3.7712	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	a	Part2	sine_circle	sine_circle	2	0.5	shape	practice	0	n/a	-999	-999	-999	4.4914	1.3498	89	89	0	61	center	0.0	1	4.921	1	0	3	0	0	1.7968	2.6136	3.5065	-999	-999	-999	-999	-999	-999	-999
2	temp	a	Part2	sine_circle	sine_circle	2	1.0	shape	practice	0	n/a	-999	-999	-999	1.4432	4.5848	89	89	0	75	center	0.0	1	5.59	1	0	3	1	1	2.06	2.8036	4.4986	-999	-999	-999	-999	-999	-999	-999
3	temp	a	Part2	ellipse	ellipse	2	0.7	shape	practice	0	n/a	-999	-999	-999	2.101	5.2426	89	89	0	77	center	0.0	1	5.307	1	0	3	0	0	1.7001	2.8305	4.6326	-999	-999	-999	-999	-999	-999	-999
4	temp	a	Part2	diamond	diamond	2	0.7	shape	practice	0	n/a	-999	-999	-999	4.0939	0.9523	89	89	0	71	center	0.0	1	5.335	1	0	2	1	1	2.6892	3.79	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	a	Part2	ellipse	ellipse	2	0.5	shape	practice	0	n/a	-999	-999	-999	2.4104	5.552	89	89	0	67	center	0.0	1	5.602	1	0	2	0	0	2.6658	4.3485	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	a	Part2	sine_circle	sine_circle	2	0.7	shape	practice	0	n/a	-999	-999	-999	4.7394	1.5978	89	89	0	88	center	0.0	1	5.762	1	0	2	0	0	1.8231	3.7403	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	a	Part2	diamond	diamond	2	0.5	shape	practice	0	n/a	-999	-999	-999	5.9162	2.7746	89	89	0	88	center	0.0	1	5.508	1	0	3	2	2	1.9743	2.9853	3.9596	-999	-999	-999	-999	-999	-999	-999
8	temp	a	Part2	ellipse	ellipse	2	1.0	shape	practice	0	n/a	-999	-999	-999	2.3671	5.5087	89	89	0	97	center	0.0	1	6.602	1	0	2	7	3	2.5623	4.2771	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	a	Part2	diamond	diamond	2	0.7	shape	staircase	1	stair1	Part2|diamond|stair1	0.7	-0.7	5.4238	2.2822	89	89	0	95	center	0.0	1	5.583	1	0	2	2	2	1.9701	3.5011	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	a	Part2	sine_circle	sine_circle	2	0.7	shape	staircase	1	stair1	Part2|sine_circle|stair1	0.7	-0.7	0.0755	3.2171	89	89	0	83	center	0.0	1	5.8	1	0	2	0	0	2.7218	4.5787	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	a	Part2	ellipse	ellipse	2	0.7	shape	staircase	1	stair1	Part2|ellipse|stair1	0.7	-0.7	2.4302	5.5718	89	89	0	76	center	0.0	1	5.55	1	0	2	1	1	2.4442	4.0037	-999	-999	-999	-999	-999	-999	-999	-999
12	temp	a	Part2	ellipse	ellipse	2	1.5	shape	staircase	2	stair2	Part2|ellipse|stair2	1.5	-1.5	4.8257	1.6841	89	89	0	84	center	0.0	0	5.7	1	0	2	1	1	2.469	3.5826	-999	-999	-999	-999	-999	-999	-999	-999
13	temp	a	Part2	diamond	diamond	2	1.5	shape	staircase	2	stair2	Part2|diamond|stair2	1.5	-1.5	5.6194	2.4778	89	89	0	65	center	0.0	0	5.166	1	0	2	0	0	1.8947	3.7505	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	a	Part2	sine_circle	sine_circle	2	1.5	shape	staircase	2	stair2	Part2|sine_circle|stair2	1.5	-1.5	2.2144	5.356	89	89	0	90	center	0.0	1	6.067	1	0	2	2	0	2.925	3.5996	-999	-999	-999	-999	-999	-999	-999	-999
15	temp	a	Part2	diamond	diamond	2	0.7	shape	staircase	1	stair1	Part2|diamond|stair1	0.7	-0.7	5.9032	2.7616	89	89	0	69	center	0.0	1	5.533	1	0	2	3	3	2.9652	4.9449	-999	-999	-999	-999	-999	-999	-999	-999
