trial,part,condition,trialKind,speed,p_model,correct
1,Part1,far_displaced,staircase,0.7,0.95,1
2,Part1,far_displaced,staircase,0.7,0.95,0
3,Part1,near_displaced,staircase,0.7,0.95,1
4,Part1,centred,staircase,0.7,0.95,1
5,Part1,near_displaced,staircase,0.7,0.95,1
6,Part1,near_displaced,staircase,1.8,0.95,0
7,Part1,far_displaced,staircase,1.8,0.95,1
8,Part1,far_displaced,staircase,1.8,0.95,1
9,Part1,near_displaced,staircase,1.8,0.95,1
10,Part1,near_displaced,staircase,1.0,0.95,1
11,Part1,far_displaced,staircase,0.7,0.95,1
12,Part1,far_displaced,attention_check,0.2,0.99,1
13,Part1,centred,staircase,1.8,0.95,1
14,Part1,near_displaced,staircase,1.0,0.95,1
15,Part1,far_displaced,staircase,2.1,0.463,1
16,Part1,far_displaced,staircase,1.0,0.95,1
17,Part1,near_displaced,staircase,1.5,0.95,1
18,Part1,far_displaced,staircase,2.1,0.463,1
19,Part1,far_displaced,staircase,1.3,0.95,1
20,Part1,near_displaced,staircase,1.3,0.95,1
21,Part1,far_displaced,staircase,1.0,0.95,1
22,Part1,near_displaced,attention_check,0.2,0.99,1
23,Part1,centred,staircase,1.0,0.95,1
24,Part1,far_displaced,staircase,2.2,0.3,0
25,Part1,near_displaced,staircase,2.1,0.463,0
26,Part1,far_displaced,staircase,1.6,0.95,1
27,Part1,far_displaced,staircase,1.9,0.787,0
28,Part1,near_displaced,staircase,1.8,0.95,1
29,Part1,near_displaced,staircase,1.6,0.95,1
30,Part1,near_displaced,staircase,2.1,0.463,0
31,Part1,centred,staircase,2.1,0.463,0
32,Part1,near_displaced,staircase,1.9,0.787,1
33,Part1,centred,attention_check,0.2,0.99,1
34,Part1,far_displaced,staircase,2.2,0.3,0
35,Part1,far_displaced,staircase,1.3,0.95,1
36,Part1,centred,staircase,1.3,0.95,1
37,Part1,near_displaced,staircase,1.3,0.95,1
38,Part1,far_displaced,staircase,1.9,0.787,1
39,Part1,centred,staircase,1.8,0.95,1
40,Part1,far_displaced,staircase,1.9,0.787,0
41,Part1,near_displaced,staircase,1.8,0.95,1
42,Part1,centred,staircase,1.6,0.95,1
43,Part1,centred,staircase,2.0,0.625,0
44,Part1,far_displaced,attention_check,0.2,0.99,1
45,Part1,near_displaced,staircase,2.1,0.463,0
46,Part1,far_displaced,staircase,1.9,0.787,1
47,Part1,near_displaced,staircase,2.2,0.3,0
48,Part1,far_displaced,staircase,1.6,0.95,1
49,Part1,centred,staircase,1.9,0.787,1
50,Part1,near_displaced,staircase,1.6,0.95,1
