trialnum	subject	session	part	condition	basicShape	numObjects	speed	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	part2	near_displaced	circle	2	1.9	4.5752	1.4336	120	1	6.655	1	0	2	2.0044	3.5322	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	part2	centred	circle	2	1.7	3.89	0.7484	120	1	5.698	1	0	2	2.3173	4.032	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	part2	centred	circle	2	2.0	4.5072	1.3656	120	1	5.699	1	0	3	2.6877	3.3285	3.9604	-999	-999	-999	-999	-999	-999	-999
3	temp	1	part2	centred	circle	2	2.0	1.0642	4.2058	120	1	5.7	1	0	2	3.0342	3.629	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	part2	far_displaced	circle	2	1.5	5.1445	2.0029	120	1	5.7	1	0	2	2.597	3.6855	-999	-999	-999	-999	-999	-999	-999	-999
5	temp	1	part2	centred	circle	2	1.0	2.1547	5.2963	120	1	5.699	1	0	2	2.505	3.6506	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	part2	far_displaced	circle	2	1.0	1.5899	4.7315	120	1	5.7	1	0	2	2.7541	3.9137	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	part2	centred	circle	2	2.2	1.8392	4.9808	120	1	5.7	1	0	2	3.1779	4.773	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	part2	centred	circle	2	1.0	3.6199	0.4783	120	1	5.767	1	0	3	2.6645	3.1699	3.7047	-999	-999	-999	-999	-999	-999	-999
9	temp	1	part2	near_displaced	circle	2	2.2	4.3003	1.1587	120	1	5.699	1	0	2	2.4224	3.5419	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	part2	centred	circle	2	2.0	0.7855	3.927	120	1	5.699	1	0	2	3.1765	4.4505	-999	-999	-999	-999	-999	-999	-999	-999
11	temp	1	part2	near_displaced	circle	2	2.2	4.1473	1.0057	120	1	5.7	1	0	3	2.53	3.2482	5.1036	-999	-999	-999	-999	-999	-999	-999
12	temp	1	part2	centred	circle	2	1.7	3.7159	0.5743	120	1	5.7	1	0	3	1.9863	3.4366	4.158	-999	-999	-999	-999	-999	-999	-999
13	temp	1	part2	far_displaced	circle	2	1.5	4.0471	0.9055	120	1	5.699	1	0	2	2.406	3.5395	-999	-999	-999	-999	-999	-999	-999	-999
14	temp	1	part2	far_displaced	circle	2	2.0	4.1922	1.0506	120	1	5.7	1	0	3	2.7734	3.4865	4.3692	-999	-999	-999	-999	-999	-999	-999
15	temp	1	part2	near_displaced	circle	2	2.0	3.3487	0.2071	120	1	6.267	1	0	2	2.0553	3.8479	-999	-999	-999	-999	-999	-999	-999	-999
16	temp	1	part2	far_displaced	circle	2	2.0	0.2531	3.3947	120	1	5.716	1	0	2	2.0638	4.0624	-999	-999	-999	-999	-999	-999	-999	-999
17	temp	1	part2	centred	circle	2	1.5	2.4372	5.5788	120	1	5.7	1	0	3	2.4991	3.4982	4.0877	-999	-999	-999	-999	-999	-999	-999
18	temp	1	part2	centred	circle	2	1.5	1.0186	4.1602	120	1	5.699	1	0	3	1.7435	2.97	4.0217	-999	-999	-999	-999	-999	-999	-999
19	temp	1	part2	far_displaced	circle	2	1.7	5.5534	2.4118	120	1	5.7	1	0	3	2.6538	3.4196	5.3155	-999	-999	-999	-999	-999	-999	-999
20	temp	1	part2	far_displaced	circle	2	2.0	5.2103	2.0687	120	1	5.699	1	0	2	1.9317	3.6374	-999	-999	-999	-999	-999	-999	-999	-999
21	temp	1	part2	near_displaced	circle	2	2.2	3.7825	0.6409	120	1	5.7	1	0	2	2.7848	4.7838	-999	-999	-999	-999	-999	-999	-999	-999
22	temp	1	part2	near_displaced	circle	2	1.7	1.9984	5.14	120	1	5.733	1	0	3	2.0283	2.8591	3.7944	-999	-999	-999	-999	-999	-999	-999
23	temp	1	part2	near_displaced	circle	2	1.5	4.7975	1.6559	120	1	7.134	1	0	2	3.1302	4.1112	-999	-999	-999	-999	-999	-999	-999	-999
24	temp	1	part2	far_displaced	circle	2	1.5	6.2068	3.0653	120	1	5.699	1	0	2	1.8748	3.5777	-999	-999	-999	-999	-999	-999	-999	-999
25	temp	1	part2	near_displaced	circle	2	1.0	6.0932	2.9516	120	1	5.699	1	0	2	2.9489	4.8554	-999	-999	-999	-999	-999	-999	-999	-999
26	temp	1	part2	far_displaced	circle	2	1.5	5.4418	2.3002	120	1	5.716	1	0	2	2.6296	4.4771	-999	-999	-999	-999	-999	-999	-999	-999
