trialnum	part	condition	speed	correct
0	part2	centred	2.0	1
1	part2	near_displaced	1.5	1
2	part2	near_displaced	2.2	0
3	part2	centred	1.0	1
4	part2	centred	1.9	1
5	part2	far_displaced	2.0	1
6	part2	far_displaced	1.0	1
7	part2	centred	1.7	1
8	part2	near_displaced	1.0	1
9	part2	centred	2.2	0
10	part2	centred	1.5	1
11	part2	far_displaced	2.2	0
12	part2	centred	2.0	0
13	part2	centred	2.2	0
14	part2	far_displaced	2.2	0
15	part2	near_displaced	1.7	0
16	part2	near_displaced	2.2	0
17	part2	near_displaced	1.7	0
18	part2	near_displaced	1.9	0
19	part2	near_displaced	1.0	0
20	part2	centred	1.7	0
21	part2	near_displaced	1.9	0
22	part2	far_displaced	1.0	0
23	part2	near_displaced	1.9	0
24	part2	far_displaced	1.5	0
25	part2	near_displaced	1.0	0
26	part2	centred	1.0	0
27	part2	near_displaced	2.0	0
28	part2	centred	1.9	0
29	part2	far_displaced	1.0	0
30	part2	far_displaced	2.2	0
31	part2	far_displaced	1.5	0
32	part2	far_displaced	1.9	0
33	part2	far_displaced	1.9	0
34	part2	near_displaced	1.0	0
35	part2	near_displaced	1.7	0
36	part2	centred	1.0	0
37	part2	centred	2.2	0
38	part2	far_displaced	2.2	0
39	part2	far_displaced	1.5	0
40	part2	centred	2.0	0
41	part2	near_displaced	1.5	0
42	part2	centred	1.7	0
43	part2	far_displaced	2.0	0
44	part2	near_displaced	1.5	0
45	part2	near_displaced	1.5	0
46	part2	centred	1.5	0
47	part2	far_displaced	1.7	0
48	part2	far_displaced	2.0	0
49	part2	far_displaced	1.7	0
50	part2	centred	1.9	0
51	part2	near_displaced	1.7	0
52	part2	far_displaced	1.5	0
53	part2	centred	1.5	0
54	part2	centred	2.0	0
55	part2	centred	1.7	0
56	part2	far_displaced	1.7	0
57	part2	near_displaced	2.2	0
58	part2	centred	2.2	0
59	part2	near_displaced	1.9	0
60	part2	far_displaced	1.9	0
61	part2	far_displaced	1.0	0
62	part2	centred	1.9	0
63	part2	near_displaced	2.0	0
64	part2	far_displaced	1.9	0
65	part2	centred	1.0	0
66	part2	near_displaced	2.2	0
67	part2	centred	1.5	0
68	part2	far_displaced	1.7	0
69	part2	near_displaced	2.0	0
70	part2	far_displaced	2.0	0
71	part2	near_displaced	2.0	0
