trialnum	subject	session	part	condition	basicShape	numObjects	speed	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	part2	near_displaced	circle	2	2.2	2.4039	5.5455	120	0	15.285	1	0	2	2.6631	3.5837	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	part2	far_displaced	circle	2	2.2	1.0274	4.169	120	0	14.279	1	0	2	2.3298	3.7576	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	part2	near_displaced	circle	2	1.9	5.4653	2.3237	120	0	14.271	1	0	2	2.1651	3.6356	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	part2	near_displaced	circle	2	2.0	2.6558	5.7974	120	0	14.271	1	0	2	3.0738	4.9775	-999	-999	-999	-999	-999	-999	-999	-999
4	temp	1	part2	far_displaced	circle	2	1.5	0.8285	3.9701	120	0	14.272	1	0	3	1.7514	3.0592	4.0483	-999	-999	-999	-999	-999	-999	-999
5	temp	1	part2	far_displaced	circle	2	1.0	2.1563	5.2979	120	0	14.272	1	0	2	2.9462	4.9263	-999	-999	-999	-999	-999	-999	-999	-999
6	temp	1	part2	near_displaced	circle	2	1.7	2.3368	5.4784	120	0	14.271	1	0	3	1.7689	3.2884	4.3142	-999	-999	-999	-999	-999	-999	-999
7	temp	1	part2	near_displaced	circle	2	2.2	0.2986	3.4402	120	0	14.288	1	0	2	2.8827	4.5837	-999	-999	-999	-999	-999	-999	-999	-999
8	temp	1	part2	centred	circle	2	1.9	2.8798	6.0214	120	0	6.758	1	0	2	2.1642	3.9171	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	part2	near_displaced	circle	2	1.5	4.0177	0.8761	120	1	5.535	1	0	3	1.9259	2.6499	3.6964	-999	-999	-999	-999	-999	-999	-999
