trialnum	subject	session	part	condition	basicShape	numObjects	speed	initialAngle	initialOtherAngle	cueFrames	correct	trialDurTotal	numTargets	whichIsTarget	reversal_count	reversal_0	reversal_1	reversal_2	reversal_3	reversal_4	reversal_5	reversal_6	reversal_7	reversal_8	reversal_9
0	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.3	2.9548	6.0964	120	1	6.566	1	0	2	1.9718	3.8621	-999	-999	-999	-999	-999	-999	-999	-999
1	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.3	4.0574	0.9158	120	1	5.374	1	0	2	2.9634	4.8102	-999	-999	-999	-999	-999	-999	-999	-999
2	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	3.3118	0.1702	120	1	5.349	1	0	2	2.6687	4.594	-999	-999	-999	-999	-999	-999	-999	-999
3	temp	1	Part1_OffFix_Standard	centred	circle	2	0.3	1.0078	4.1494	120	1	5.35	1	0	3	2.403	3.1707	4.9168	-999	-999	-999	-999	-999	-999	-999
4	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	2.8544	5.996	120	1	5.351	1	0	3	2.4309	3.1563	4.6403	-999	-999	-999	-999	-999	-999	-999
5	temp	1	Part1_OffFix_Standard	far_displaced	circle	2	0.03	2.2538	5.3953	120	1	5.348	1	0	4	1.8034	2.7284	3.3705	5.0991	-999	-999	-999	-999	-999	-999
6	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	5.567	2.4254	120	1	5.35	1	0	2	2.9403	4.3705	-999	-999	-999	-999	-999	-999	-999	-999
7	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	3.8206	0.679	120	1	5.347	1	0	3	2.7436	3.3659	5.2647	-999	-999	-999	-999	-999	-999	-999
8	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	3.7494	0.6078	120	1	5.348	1	0	2	2.0918	3.8856	-999	-999	-999	-999	-999	-999	-999	-999
9	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	0.8588	4.0004	120	1	5.349	1	0	2	3.0074	4.9018	-999	-999	-999	-999	-999	-999	-999	-999
10	temp	1	Part1_OffFix_Standard	near_displaced	circle	2	0.03	5.9045	2.7629	120	1	5.35	1	0	2	2.5372	3.7715	-999	-999	-999	-999	-999	-999	-999	-999
